"Drug poisoning death rates* by intent, age, sex, and drug type, 1999-2021",,,,,,,,,,,,,,,,,,,
Year,Gender,Intent,,Substance,,,Age Group,,,,,,,,,,,,
,,,,,,,< 1 year,1-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85+ years,,
2013,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.9,2.6,2.9,3.3,2.1,0.4,NR,NR,,
2013,Male,Preventable/accidental,,All drugs,,,0.1,0.1,NR,10.2,25.7,24.1,26.5,18.4,4.7,2.3,3.2,,
2013,Male,Preventable/accidental,,Any Opioid,,,NR,0.1,NR,7.6,18.3,15.4,15.4,10.1,2.0,0.6,0.5,,
2013,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.6,4.2,3.7,4.0,2.4,0.3,0.2,0.1,,
2013,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.2,0.3,0.2,0.1,0.1,NR,NR,NR,,
2013,Male,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.8,3.1,3.6,5.0,3.4,1.0,0.1,NR,,
2013,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,3.9,9.5,6.5,5.7,3.4,0.5,NR,NR,,
2013,Male,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.9,2.4,2.1,2.1,1.5,0.4,0.1,0.1,,
2013,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.7,1.8,1.5,1.6,1.1,0.2,0.1,0.1,,
2013,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,2.3,5.8,5.8,6.9,4.5,1.0,0.4,0.3,,
2013,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.8,2.4,2.7,3.1,2.0,0.4,NR,NR,,
2012,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.8,0.2,0.1,8.0,20.1,22.1,26.9,16.6,5.8,3.4,4.3,,
2012,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.4,0.2,0.1,5.3,12.8,12.6,14.2,8.3,2.3,1.0,0.9,,
2012,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.2,3.2,3.8,4.2,2.5,0.8,0.3,0.3,,
2012,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.2,0.1,0.1,NR,NR,NR,NR,,
2012,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,0.6,2.0,2.4,3.5,1.9,0.4,NR,NR,,
2012,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,2.2,4.6,3.1,2.8,1.3,0.1,NR,NR,,
2012,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,0.8,2.3,2.2,2.3,1.5,0.3,NR,0.1,,
2012,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,0.4,1.3,1.4,1.8,1.1,0.4,0.2,0.1,,
2012,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.3,0.1,NR,1.9,4.9,6.2,7.6,4.7,1.6,0.6,0.7,,
2012,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.4,1.3,1.6,1.8,1.0,0.2,NR,NR,,
2012,Both sexes,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,6.8,17.2,18.0,21.3,12.4,3.7,2.0,2.8,,
2012,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,4.8,11.6,11.1,12.0,6.7,1.6,0.5,0.4,,
2012,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.0,2.8,3.3,3.4,1.8,0.5,0.1,0.1,,
2012,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.2,0.1,0.1,NR,NR,NR,NR,,
2012,Both sexes,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.6,1.9,2.2,3.3,1.8,0.4,NR,NR,,
2012,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,2.0,4.3,2.9,2.6,1.2,0.1,NR,NR,,
2012,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.7,2.1,2.0,2.0,1.3,0.2,NR,0.1,,
2012,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.3,1.1,1.2,1.5,0.8,0.3,0.1,0.1,,
2012,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,1.6,4.3,5.3,6.2,3.6,1.0,0.3,0.2,,
2012,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.4,1.2,1.4,1.7,0.9,0.2,NR,NR,,
2012,Female,"All (preventable, intentional, undetermined)",,All drugs,,,0.7,0.2,0.1,4.4,13.1,17.1,23.4,14.0,5.5,3.5,3.8,,
2012,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.4,0.1,NR,2.7,7.7,8.9,12.0,6.7,2.2,1.0,0.9,,
2012,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,0.6,2.2,3.1,4.2,2.4,0.9,0.4,0.2,,
2012,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,NR,0.1,0.1,0.1,NR,NR,NR,NR,,
2012,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,0.3,1.2,1.3,2.1,0.9,0.1,NR,NR,,
2012,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.1,2.0,1.1,1.1,0.4,NR,NR,NR,,
2012,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,0.4,1.5,1.7,2.1,1.1,0.2,NR,0.1,,
2012,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,0.2,1.0,1.1,1.9,1.1,0.4,0.3,0.1,,
2012,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.3,0.1,NR,1.1,3.5,5.3,7.2,4.5,1.5,0.7,0.6,,
2012,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.3,0.9,1.0,1.1,0.5,0.1,NR,NR,,
2012,Female,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,3.4,10.6,13.1,17.8,9.7,3.1,2.0,2.6,,
2012,Female,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,2.3,6.7,7.5,9.7,5.1,1.3,0.5,0.5,,
2012,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,0.5,1.9,2.6,3.2,1.6,0.5,0.1,NR,,
2012,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,NR,0.1,NR,0.1,NR,NR,NR,NR,,
2012,Female,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.3,1.1,1.2,1.9,0.9,0.1,NR,NR,,
2012,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.0,1.9,1.0,1.1,0.4,NR,NR,NR,,
2012,Female,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.3,1.3,1.6,1.7,1.0,0.2,NR,0.1,,
2012,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.1,0.8,0.9,1.5,0.8,0.2,0.1,0.1,,
2012,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,0.9,2.9,4.4,5.8,3.2,0.9,0.3,0.2,,
2012,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.3,0.8,0.9,1.0,0.4,0.1,NR,NR,,
2012,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.9,0.3,0.1,11.4,27.0,27.1,30.4,19.4,6.2,3.2,5.3,,
2012,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.4,0.2,0.1,7.9,17.8,16.3,16.6,10.1,2.4,0.9,1.0,,
2012,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.7,4.1,4.6,4.3,2.7,0.8,0.2,0.5,,
2012,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.3,0.2,0.2,0.1,NR,NR,NR,,
2012,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.9,2.7,3.4,4.9,2.9,0.7,0.1,NR,,
2012,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,3.2,7.1,5.1,4.5,2.3,0.3,NR,NR,,
2012,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,1.2,3.2,2.7,2.5,1.9,0.3,0.1,0.1,,
2012,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,0.6,1.5,1.6,1.7,1.1,0.3,0.2,0.1,,
2012,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,NR,2.7,6.3,7.1,8.0,5.0,1.6,0.5,0.8,,
2012,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.6,1.7,2.1,2.5,1.5,0.4,NR,NR,,
2012,Male,Preventable/accidental,,All drugs,,,0.1,0.2,0.1,1NR,23.7,23.0,25.0,15.4,4.3,2.1,3.2,,
2012,Male,Preventable/accidental,,Any Opioid,,,NR,0.1,0.1,7.2,16.4,14.7,14.4,8.4,1.8,0.5,0.3,,
2012,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.5,3.7,4.0,3.7,2.0,0.5,0.1,0.2,,
2012,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.2,0.1,0.2,0.1,NR,NR,NR,,
2012,Male,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.8,2.5,3.2,4.7,2.8,0.7,0.1,NR,,
2012,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,3.0,6.7,4.8,4.2,2.1,0.3,NR,NR,,
2012,Male,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,1.1,2.9,2.5,2.2,1.7,0.2,NR,0.1,,
2012,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.5,1.3,1.4,1.4,0.8,0.3,0.1,0.1,,
2012,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,0.1,NR,2.4,5.6,6.2,6.7,3.9,1.0,0.3,0.1,,
2012,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.5,1.6,2.0,2.4,1.4,0.4,NR,NR,,
2011,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.6,0.2,0.1,8.6,20.2,22.5,26.7,15.9,5.4,3.4,4.2,,
2011,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.3,0.2,0.1,5.8,12.6,12.4,14.0,7.8,2.1,0.8,0.9,,
2011,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.4,3.6,4.1,4.5,2.3,0.7,0.3,0.2,,
2011,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,0.1,0.1,NR,NR,NR,,
2011,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,0.7,2.3,2.7,3.4,1.9,0.3,0.1,NR,,
2011,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.8,3.4,2.2,2.0,1.0,0.2,NR,NR,,
2011,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,NR,NR,NR,1.1,2.6,2.5,2.7,1.5,0.3,NR,0.1,,
2011,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,0.5,1.2,1.4,1.9,1.1,0.3,0.2,0.2,,
2011,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,NR,2.4,5.6,6.5,7.9,4.5,1.4,0.6,0.7,,
2011,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.5,1.1,1.4,1.5,0.8,0.2,NR,NR,,
2011,Both sexes,Preventable/accidental,,All drugs,,,0.3,0.1,0.1,7.4,17.3,18.4,21.1,11.7,3.4,2.0,3.1,,
2011,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,5.2,11.3,10.9,11.8,6.2,1.3,0.3,0.5,,
2011,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.3,3.2,3.5,3.6,1.7,0.4,0.1,0.1,,
2011,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,0.1,0.1,NR,NR,NR,,
2011,Both sexes,Preventable/accidental,,Cocaine,,,0.1,NR,NR,0.7,2.2,2.6,3.2,1.8,0.3,NR,NR,,
2011,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.7,3.1,2.0,1.9,0.9,0.1,NR,NR,,
2011,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,1.0,2.4,2.2,2.3,1.3,0.2,NR,NR,,
2011,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.4,1.0,1.1,1.5,0.8,0.2,0.1,0.1,,
2011,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,2.1,4.9,5.5,6.5,3.4,0.8,0.2,0.3,,
2011,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.4,1.0,1.2,1.4,0.7,0.2,NR,NR,,
2011,Female,"All (preventable, intentional, undetermined)",,All drugs,,,0.4,0.2,0.1,4.6,12.8,18.2,23.1,13.5,5.3,3.4,4.2,,
2011,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.2,NR,2.9,7.3,9.3,11.7,6.4,2.1,0.7,0.9,,
2011,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,0.7,2.5,3.5,4.2,2.2,0.7,0.3,0.2,,
2011,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.1,NR,0.1,NR,NR,NR,NR,,
2011,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.4,1.2,1.6,2.1,0.9,0.1,NR,NR,,
2011,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,0.9,1.4,0.8,0.8,0.3,NR,NR,NR,,
2011,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,0.4,1.7,2.0,2.4,1.2,0.2,NR,NR,,
2011,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.3,0.9,1.4,1.9,1.1,0.3,0.2,0.1,,
2011,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,1.4,3.6,5.3,7.1,4.0,1.5,0.5,0.7,,
2011,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.3,0.7,0.9,0.9,0.4,0.1,NR,NR,,
2011,Female,Preventable/accidental,,All drugs,,,0.3,0.1,0.1,3.7,10.2,14.0,17.4,9.1,3.2,2.0,3.1,,
2011,Female,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,2.5,6.3,7.8,9.6,4.8,1.4,0.3,0.5,,
2011,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,0.6,2.0,2.9,3.3,1.5,0.4,0.1,NR,,
2011,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.1,NR,0.1,NR,NR,NR,NR,,
2011,Female,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.3,1.1,1.5,2.0,0.8,0.1,NR,NR,,
2011,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,0.8,1.3,0.7,0.8,0.3,NR,NR,NR,,
2011,Female,Preventable/accidental,,Opioid subgroup - methadone,,,0.1,NR,NR,0.4,1.5,1.8,2.0,1.1,0.2,NR,NR,,
2011,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.2,0.7,1.1,1.5,0.8,0.2,0.1,0.1,,
2011,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,0.1,NR,1.1,3.0,4.3,5.7,2.9,0.9,0.2,0.4,,
2011,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.2,0.7,0.8,0.7,0.4,0.1,NR,NR,,
2011,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.8,0.3,0.1,12.4,27.5,26.8,30.4,18.5,5.4,3.4,4.3,,
2011,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.4,0.2,0.1,8.6,17.9,15.6,16.3,9.2,2.0,0.8,1.0,,
2011,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,2.0,4.7,4.6,4.7,2.5,0.7,0.3,0.3,,
2011,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.2,0.2,0.1,0.2,0.1,NR,NR,NR,,
2011,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,1.0,3.4,3.9,4.7,3.0,0.5,0.1,NR,,
2011,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,2.8,5.4,3.6,3.2,1.7,0.3,NR,NR,,
2011,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,NR,NR,NR,1.7,3.5,3.0,3.0,1.7,0.3,NR,0.1,,
2011,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,0.1,NR,NR,0.7,1.5,1.4,1.8,1.0,0.3,0.2,0.3,,
2011,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,NR,3.3,7.5,7.7,8.6,5.0,1.2,0.6,0.6,,
2011,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.6,1.5,1.8,2.2,1.2,0.3,NR,NR,,
2011,Male,Preventable/accidental,,All drugs,,,0.3,0.1,0.1,10.9,24.2,22.8,25.0,14.5,3.6,2.1,3.0,,
2011,Male,Preventable/accidental,,Any Opioid,,,0.1,0.1,0.1,7.8,16.3,14.0,14.2,7.8,1.3,0.4,0.6,,
2011,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.8,4.3,4.1,4.0,1.9,0.4,0.1,0.1,,
2011,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.2,0.1,0.2,0.1,NR,NR,NR,,
2011,Male,Preventable/accidental,,Cocaine,,,0.1,NR,NR,1.0,3.2,3.6,4.4,2.8,0.5,0.1,NR,,
2011,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,2.6,5.0,3.3,3.0,1.6,0.2,NR,NR,,
2011,Male,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,1.5,3.2,2.7,2.6,1.5,0.3,NR,0.1,,
2011,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.6,1.3,1.2,1.5,0.8,0.2,0.1,0.2,,
2011,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,3.0,6.7,6.8,7.2,4.0,0.7,0.3,0.3,,
2011,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.5,1.4,1.7,2.1,1.1,0.3,NR,NR,,
2010,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.6,0.3,0.2,8.2,18.4,20.8,25.1,15.0,4.7,3.4,4.7,,
2010,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.3,0.2,0.1,5.5,11.4,11.6,13.2,7.4,1.7,0.8,1.3,,
2010,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.5,3.5,3.6,4.2,2.2,0.7,0.3,0.3,,
2010,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,0.1,NR,NR,NR,NR,,
2010,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.6,1.8,2.5,3.2,1.6,0.3,0.1,NR,,
2010,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.2,2.2,1.6,1.4,0.7,0.1,NR,NR,,
2010,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,1.3,2.8,2.4,2.8,1.5,0.2,NR,0.1,,
2010,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.5,1.4,1.7,2.1,1.2,0.3,0.2,0.3,,
2010,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,NR,2.4,5.3,6.1,7.3,4.2,1.1,0.5,0.9,,
2010,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.4,0.9,1.2,1.2,0.6,0.1,NR,NR,,
2010,Both sexes,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,6.9,15.5,16.7,19.5,10.7,2.9,2.0,3.0,,
2010,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,0.1,0.1,4.9,1NR,9.9,10.9,5.8,1.1,0.4,0.6,,
2010,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.4,3.1,3.1,3.3,1.5,0.4,0.1,0.1,,
2010,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,0.1,NR,NR,NR,NR,,
2010,Both sexes,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.6,1.7,2.3,3.0,1.6,0.3,0.1,NR,,
2010,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.1,2.0,1.5,1.3,0.7,0.1,NR,NR,,
2010,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,1.2,2.5,2.1,2.4,1.3,0.2,NR,NR,,
2010,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.4,1.2,1.4,1.6,0.9,0.2,0.1,0.1,,
2010,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,2.1,4.5,5.1,5.9,3.1,0.7,0.2,0.4,,
2010,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.4,0.8,1.1,1.1,0.6,0.1,NR,NR,,
2010,Female,"All (preventable, intentional, undetermined)",,All drugs,,,0.5,0.2,0.1,4.6,11.9,16.8,21.8,12.9,4.8,3.3,4.5,,
2010,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.3,0.1,NR,2.8,6.6,8.5,11.1,6.2,1.8,0.8,1.2,,
2010,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,0.8,2.2,2.9,3.7,2.0,0.9,0.3,0.2,,
2010,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,NR,0.1,NR,NR,NR,NR,NR,NR,,
2010,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.4,0.9,1.4,1.9,0.7,0.1,NR,NR,,
2010,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,0.6,0.9,0.6,0.5,0.3,NR,NR,NR,,
2010,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.2,NR,NR,0.6,1.6,1.9,2.4,1.2,0.2,NR,NR,,
2010,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.4,1.0,1.5,2.2,1.3,0.5,0.2,0.3,,
2010,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,1.3,3.4,4.8,6.4,3.6,1.3,0.5,0.8,,
2010,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.3,0.6,0.8,0.7,0.4,NR,NR,NR,,
2010,Female,Preventable/accidental,,All drugs,,,0.1,0.1,0.1,3.6,9.2,12.6,16.1,8.5,2.8,2.0,3.2,,
2010,Female,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,2.4,5.4,6.9,8.8,4.6,1.2,0.4,0.7,,
2010,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,0.7,1.8,2.3,2.8,1.3,0.5,0.1,0.1,,
2010,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,
2010,Female,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.3,0.8,1.3,1.7,0.6,0.1,NR,NR,,
2010,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,0.5,0.8,0.5,0.5,0.3,NR,NR,NR,,
2010,Female,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.5,1.4,1.6,2.0,0.9,0.1,NR,NR,,
2010,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.3,0.8,1.2,1.7,0.9,0.3,0.1,0.2,,
2010,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,1.1,2.7,3.8,5.0,2.6,0.8,0.2,0.4,,
2010,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.3,0.5,0.7,0.6,0.3,NR,NR,NR,,
2010,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.7,0.3,0.2,11.6,25.0,24.9,28.5,17.3,4.5,3.6,5.1,,
2010,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.3,0.2,0.1,8.0,16.2,14.7,15.4,8.7,1.6,0.8,1.4,,
2010,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,2.2,4.8,4.4,4.7,2.4,0.5,0.3,0.4,,
2010,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.2,0.2,0.1,0.1,0.1,NR,NR,NR,,
2010,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.8,2.8,3.6,4.6,2.7,0.5,0.2,0.1,,
2010,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.9,3.5,2.8,2.4,1.1,0.1,NR,NR,,
2010,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,NR,0.1,0.1,1.9,4.0,2.9,3.2,1.9,0.2,NR,0.1,,
2010,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.7,1.8,1.8,1.9,1.1,0.1,0.2,0.2,,
